P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,2,4];
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,3,4,4];
d =[[ 0 , 10 , 10 , 8 , 11 ],
[ 10 , 0 , 5 , 7 , 7 ],
[ 10 , 5 , 0 , 5 , 4 ],
[ 8 , 7 , 5 , 0 , 5 ],
[ 11 , 7 , 4 , 5 , 0 ],];
t =[[ 0 , 10 , 10 , 8 , 11 ],
[ 10 , 0 , 5 , 7 , 7 ],
[ 10 , 5 , 0 , 0 , 4 ],
[ 8 , 7 , 0 , 0 , 5 ],
[ 11 , 7 , 4 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,5,1,1];
d =[[ 0 , 10 , 8 , 10 , 10 ],
[ 10 , 0 , 3 , 4 , 6 ],
[ 8 , 3 , 0 , 4 , 6 ],
[ 10 , 4 , 4 , 0 , 4 ],
[ 10 , 6 , 6 , 4 , 0 ],];
t =[[ 0 , 10 , 8 , 0 , 10 ],
[ 10 , 0 , 3 , 4 , 6 ],
[ 8 , 3 , 0 , 4 , 6 ],
[ 0 , 4 , 4 , 0 , 4 ],
[ 10 , 6 , 6 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,2,5,2];
d =[[ 0 , 9 , 11 , 6 , 10 ],
[ 9 , 0 , 3 , 6 , 8 ],
[ 11 , 3 , 0 , 7 , 7 ],
[ 6 , 6 , 7 , 0 , 6 ],
[ 10 , 8 , 7 , 6 , 0 ],];
t =[[ 0 , 9 , 0 , 6 , 10 ],
[ 9 , 0 , 3 , 6 , 8 ],
[ 0 , 3 , 0 , 7 , 7 ],
[ 6 , 6 , 7 , 0 , 6 ],
[ 10 , 8 , 7 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,3,3,3];
d =[[ 0 , 8 , 9 , 7 , 11 ],
[ 8 , 0 , 3 , 3 , 4 ],
[ 9 , 3 , 0 , 5 , 3 ],
[ 7 , 3 , 5 , 0 , 5 ],
[ 11 , 4 , 3 , 5 , 0 ],];
t =[[ 0 , 8 , 9 , 7 , 11 ],
[ 8 , 0 , 3 , 3 , 4 ],
[ 9 , 3 , 0 , 0 , 3 ],
[ 7 , 3 , 0 , 0 , 5 ],
[ 11 , 4 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,5,5,5];
d =[[ 0 , 11 , 8 , 8 , 10 ],
[ 11 , 0 , 5 , 6 , 8 ],
[ 8 , 5 , 0 , 3 , 5 ],
[ 8 , 6 , 3 , 0 , 4 ],
[ 10 , 8 , 5 , 4 , 0 ],];
t =[[ 0 , 11 , 8 , 0 , 10 ],
[ 11 , 0 , 5 , 6 , 8 ],
[ 8 , 5 , 0 , 3 , 5 ],
[ 0 , 6 , 3 , 0 , 4 ],
[ 10 , 8 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,2,5];
d =[[ 0 , 10 , 7 , 12 , 7 ],
[ 10 , 0 , 4 , 4 , 6 ],
[ 7 , 4 , 0 , 6 , 4 ],
[ 12 , 4 , 6 , 0 , 7 ],
[ 7 , 6 , 4 , 7 , 0 ],];
t =[[ 0 , 10 , 7 , 12 , 7 ],
[ 10 , 0 , 4 , 4 , 6 ],
[ 7 , 4 , 0 , 0 , 4 ],
[ 12 , 4 , 0 , 0 , 7 ],
[ 7 , 6 , 4 , 7 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
