P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,3,3];
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,1,2,1];
d =[[ 0 , 10 , 10 , 12 , 9 ],
[ 10 , 0 , 3 , 7 , 7 ],
[ 10 , 3 , 0 , 5 , 5 ],
[ 12 , 7 , 5 , 0 , 4 ],
[ 9 , 7 , 5 , 4 , 0 ],];
t =[[ 0 , 10 , 10 , 12 , 9 ],
[ 10 , 0 , 3 , 0 , 7 ],
[ 10 , 3 , 0 , 5 , 5 ],
[ 12 , 0 , 5 , 0 , 4 ],
[ 9 , 7 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,3,1];
d =[[ 0 , 9 , 7 , 9 , 11 ],
[ 9 , 0 , 3 , 4 , 3 ],
[ 7 , 3 , 0 , 4 , 5 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 11 , 3 , 5 , 5 , 0 ],];
t =[[ 0 , 9 , 7 , 9 , 0 ],
[ 9 , 0 , 3 , 4 , 3 ],
[ 7 , 3 , 0 , 4 , 5 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 0 , 3 , 5 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,5,1];
d =[[ 0 , 7 , 11 , 10 , 7 ],
[ 7 , 0 , 5 , 7 , 5 ],
[ 11 , 5 , 0 , 7 , 7 ],
[ 10 , 7 , 7 , 0 , 5 ],
[ 7 , 5 , 7 , 5 , 0 ],];
t =[[ 0 , 7 , 11 , 10 , 7 ],
[ 7 , 0 , 5 , 7 , 5 ],
[ 11 , 5 , 0 , 0 , 7 ],
[ 10 , 7 , 0 , 0 , 5 ],
[ 7 , 5 , 7 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,2,2,1];
d =[[ 0 , 11 , 5 , 6 , 6 ],
[ 11 , 0 , 7 , 6 , 6 ],
[ 5 , 7 , 0 , 3 , 2 ],
[ 6 , 6 , 3 , 0 , 2 ],
[ 6 , 6 , 2 , 2 , 0 ],];
t =[[ 0 , 11 , 5 , 0 , 6 ],
[ 11 , 0 , 7 , 6 , 6 ],
[ 5 , 7 , 0 , 3 , 2 ],
[ 0 , 6 , 3 , 0 , 2 ],
[ 6 , 6 , 2 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,5,4,3];
d =[[ 0 , 10 , 10 , 7 , 7 ],
[ 10 , 0 , 4 , 7 , 5 ],
[ 10 , 4 , 0 , 5 , 5 ],
[ 7 , 7 , 5 , 0 , 4 ],
[ 7 , 5 , 5 , 4 , 0 ],];
t =[[ 0 , 0 , 10 , 7 , 7 ],
[ 0 , 0 , 4 , 7 , 5 ],
[ 10 , 4 , 0 , 5 , 5 ],
[ 7 , 7 , 5 , 0 , 4 ],
[ 7 , 5 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
