P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,3,4];
[ 10 , 5 , 0 , 6 , 6 ],
[ 10 , 4 , 6 , 0 , 2 ],
[ 11 , 3 , 6 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,2,5,5];
d =[[ 0 , 10 , 11 , 10 , 11 ],
[ 10 , 0 , 5 , 3 , 4 ],
[ 11 , 5 , 0 , 3 , 3 ],
[ 10 , 3 , 3 , 0 , 2 ],
[ 11 , 4 , 3 , 2 , 0 ],];
t =[[ 0 , 10 , 11 , 10 , 11 ],
[ 10 , 0 , 5 , 3 , 4 ],
[ 11 , 5 , 0 , 3 , 0 ],
[ 10 , 3 , 3 , 0 , 2 ],
[ 11 , 4 , 0 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,1,2,5];
d =[[ 0 , 9 , 7 , 5 , 6 ],
[ 9 , 0 , 5 , 6 , 5 ],
[ 7 , 5 , 0 , 4 , 3 ],
[ 5 , 6 , 4 , 0 , 3 ],
[ 6 , 5 , 3 , 3 , 0 ],];
t =[[ 0 , 9 , 7 , 5 , 6 ],
[ 9 , 0 , 5 , 6 , 0 ],
[ 7 , 5 , 0 , 4 , 3 ],
[ 5 , 6 , 4 , 0 , 3 ],
[ 6 , 0 , 3 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
