P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,1,3,2];
[ 11 , 0 , 2 , 3 , 3 ],
[ 11 , 2 , 0 , 4 , 4 ],
[ 9 , 3 , 4 , 0 , 4 ],
[ 10 , 3 , 4 , 4 , 0 ],];
t =[[ 0 , 11 , 11 , 9 , 10 ],
[ 11 , 0 , 2 , 3 , 3 ],
[ 11 , 2 , 0 , 4 , 0 ],
[ 9 , 3 , 4 , 0 , 4 ],
[ 10 , 3 , 0 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,3,5,1];
d =[[ 0 , 10 , 10 , 8 , 7 ],
[ 10 , 0 , 3 , 4 , 5 ],
[ 10 , 3 , 0 , 3 , 4 ],
[ 8 , 4 , 3 , 0 , 3 ],
[ 7 , 5 , 4 , 3 , 0 ],];
t =[[ 0 , 10 , 10 , 8 , 7 ],
[ 10 , 0 , 3 , 0 , 5 ],
[ 10 , 3 , 0 , 3 , 4 ],
[ 8 , 0 , 3 , 0 , 3 ],
[ 7 , 5 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,5,5];
d =[[ 0 , 8 , 9 , 10 , 10 ],
[ 8 , 0 , 2 , 3 , 3 ],
[ 9 , 2 , 0 , 3 , 3 ],
[ 10 , 3 , 3 , 0 , 2 ],
[ 10 , 3 , 3 , 2 , 0 ],];
t =[[ 0 , 8 , 9 , 10 , 10 ],
[ 8 , 0 , 2 , 3 , 3 ],
[ 9 , 2 , 0 , 3 , 0 ],
[ 10 , 3 , 3 , 0 , 2 ],
[ 10 , 3 , 0 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
