P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,2,4,4];
r=[0,4,2,2,2];
d =[[ 0 , 10 , 6 , 8 , 10 ],
[ 10 , 0 , 6 , 5 , 4 ],
[ 6 , 6 , 0 , 5 , 6 ],
[ 8 , 5 , 5 , 0 , 3 ],
[ 10 , 4 , 6 , 3 , 0 ],];
t =[[ 0 , 0 , 6 , 8 , 10 ],
[ 0 , 0 , 6 , 5 , 4 ],
[ 6 , 6 , 0 , 5 , 6 ],
[ 8 , 5 , 5 , 0 , 3 ],
[ 10 , 4 , 6 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,5,4,2];
d =[[ 0 , 11 , 9 , 9 , 8 ],
[ 11 , 0 , 6 , 4 , 5 ],
[ 9 , 6 , 0 , 4 , 6 ],
[ 9 , 4 , 4 , 0 , 3 ],
[ 8 , 5 , 6 , 3 , 0 ],];
t =[[ 0 , 0 , 9 , 9 , 8 ],
[ 0 , 0 , 6 , 4 , 5 ],
[ 9 , 6 , 0 , 4 , 6 ],
[ 9 , 4 , 4 , 0 , 3 ],
[ 8 , 5 , 6 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,2,1];
d =[[ 0 , 10 , 10 , 7 , 8 ],
[ 10 , 0 , 4 , 4 , 3 ],
[ 10 , 4 , 0 , 5 , 4 ],
[ 7 , 4 , 5 , 0 , 3 ],
[ 8 , 3 , 4 , 3 , 0 ],];
t =[[ 0 , 10 , 10 , 7 , 0 ],
[ 10 , 0 , 4 , 4 , 3 ],
[ 10 , 4 , 0 , 5 , 4 ],
[ 7 , 4 , 5 , 0 , 3 ],
[ 0 , 3 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,4,1,2];
d =[[ 0 , 6 , 7 , 8 , 11 ],
[ 6 , 0 , 3 , 4 , 6 ],
[ 7 , 3 , 0 , 4 , 5 ],
[ 8 , 4 , 4 , 0 , 4 ],
[ 11 , 6 , 5 , 4 , 0 ],];
t =[[ 0 , 6 , 7 , 8 , 11 ],
[ 6 , 0 , 3 , 4 , 0 ],
[ 7 , 3 , 0 , 4 , 5 ],
[ 8 , 4 , 4 , 0 , 4 ],
[ 11 , 0 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,2,3,5];
d =[[ 0 , 10 , 6 , 9 , 10 ],
[ 10 , 0 , 6 , 7 , 2 ],
[ 6 , 6 , 0 , 5 , 6 ],
[ 9 , 7 , 5 , 0 , 7 ],
[ 10 , 2 , 6 , 7 , 0 ],];
t =[[ 0 , 10 , 6 , 9 , 10 ],
[ 10 , 0 , 6 , 0 , 2 ],
[ 6 , 6 , 0 , 5 , 6 ],
[ 9 , 0 , 5 , 0 , 7 ],
[ 10 , 2 , 6 , 7 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,3,4,1];
d =[[ 0 , 6 , 8 , 10 , 9 ],
[ 6 , 0 , 3 , 6 , 4 ],
[ 8 , 3 , 0 , 4 , 4 ],
[ 10 , 6 , 4 , 0 , 3 ],
[ 9 , 4 , 4 , 3 , 0 ],];
t =[[ 0 , 6 , 8 , 0 , 9 ],
[ 6 , 0 , 3 , 6 , 4 ],
[ 8 , 3 , 0 , 4 , 4 ],
[ 0 , 6 , 4 , 0 , 3 ],
[ 9 , 4 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,1,5,5];
d =[[ 0 , 10 , 9 , 6 , 10 ],
[ 10 , 0 , 6 , 6 , 5 ],
[ 9 , 6 , 0 , 5 , 3 ],
[ 6 , 6 , 5 , 0 , 6 ],
[ 10 , 5 , 3 , 6 , 0 ],];
t =[[ 0 , 10 , 9 , 6 , 10 ],
[ 10 , 0 , 0 , 6 , 5 ],
[ 9 , 0 , 0 , 5 , 3 ],
[ 6 , 6 , 5 , 0 , 6 ],
[ 10 , 5 , 3 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,2,4,4];
d =[[ 0 , 10 , 9 , 10 , 10 ],
[ 10 , 0 , 2 , 2 , 3 ],
[ 9 , 2 , 0 , 3 , 3 ],
[ 10 , 2 , 3 , 0 , 3 ],
[ 10 , 3 , 3 , 3 , 0 ],];
t =[[ 0 , 10 , 9 , 10 , 0 ],
[ 10 , 0 , 2 , 2 , 3 ],
[ 9 , 2 , 0 , 3 , 3 ],
[ 10 , 2 , 3 , 0 , 3 ],
[ 0 , 3 , 3 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
