P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,5,3];
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,2,4];
d =[[ 0 , 7 , 11 , 7 , 5 ],
[ 7 , 0 , 7 , 5 , 5 ],
[ 11 , 7 , 0 , 5 , 7 ],
[ 7 , 5 , 5 , 0 , 4 ],
[ 5 , 5 , 7 , 4 , 0 ],];
t =[[ 0 , 7 , 11 , 7 , 5 ],
[ 7 , 0 , 0 , 5 , 5 ],
[ 11 , 0 , 0 , 5 , 7 ],
[ 7 , 5 , 5 , 0 , 4 ],
[ 5 , 5 , 7 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,3,4];
d =[[ 0 , 8 , 8 , 12 , 11 ],
[ 8 , 0 , 2 , 6 , 5 ],
[ 8 , 2 , 0 , 6 , 6 ],
[ 12 , 6 , 6 , 0 , 3 ],
[ 11 , 5 , 6 , 3 , 0 ],];
t =[[ 0 , 8 , 8 , 0 , 11 ],
[ 8 , 0 , 2 , 6 , 5 ],
[ 8 , 2 , 0 , 6 , 6 ],
[ 0 , 6 , 6 , 0 , 3 ],
[ 11 , 5 , 6 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,2,2,5];
d =[[ 0 , 8 , 8 , 7 , 8 ],
[ 8 , 0 , 6 , 3 , 4 ],
[ 8 , 6 , 0 , 5 , 3 ],
[ 7 , 3 , 5 , 0 , 3 ],
[ 8 , 4 , 3 , 3 , 0 ],];
t =[[ 0 , 8 , 8 , 7 , 0 ],
[ 8 , 0 , 6 , 3 , 4 ],
[ 8 , 6 , 0 , 5 , 3 ],
[ 7 , 3 , 5 , 0 , 3 ],
[ 0 , 4 , 3 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,1,5,4];
d =[[ 0 , 5 , 10 , 8 , 10 ],
[ 5 , 0 , 6 , 4 , 6 ],
[ 10 , 6 , 0 , 3 , 2 ],
[ 8 , 4 , 3 , 0 , 3 ],
[ 10 , 6 , 2 , 3 , 0 ],];
t =[[ 0 , 5 , 10 , 8 , 10 ],
[ 5 , 0 , 0 , 4 , 6 ],
[ 10 , 0 , 0 , 3 , 2 ],
[ 8 , 4 , 3 , 0 , 3 ],
[ 10 , 6 , 2 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,1,2,4];
d =[[ 0 , 8 , 8 , 8 , 7 ],
[ 8 , 0 , 2 , 5 , 4 ],
[ 8 , 2 , 0 , 4 , 4 ],
[ 8 , 5 , 4 , 0 , 3 ],
[ 7 , 4 , 4 , 3 , 0 ],];
t =[[ 0 , 8 , 8 , 8 , 7 ],
[ 8 , 0 , 2 , 0 , 4 ],
[ 8 , 2 , 0 , 4 , 4 ],
[ 8 , 0 , 4 , 0 , 3 ],
[ 7 , 4 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,1,4,5];
d =[[ 0 , 8 , 10 , 10 , 9 ],
[ 8 , 0 , 7 , 6 , 7 ],
[ 10 , 7 , 0 , 4 , 2 ],
[ 10 , 6 , 4 , 0 , 4 ],
[ 9 , 7 , 2 , 4 , 0 ],];
t =[[ 0 , 8 , 10 , 10 , 9 ],
[ 8 , 0 , 0 , 6 , 7 ],
[ 10 , 0 , 0 , 4 , 2 ],
[ 10 , 6 , 4 , 0 , 4 ],
[ 9 , 7 , 2 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,1,1];
d =[[ 0 , 5 , 9 , 12 , 10 ],
[ 5 , 0 , 7 , 9 , 7 ],
[ 9 , 7 , 0 , 6 , 5 ],
[ 12 , 9 , 6 , 0 , 4 ],
[ 10 , 7 , 5 , 4 , 0 ],];
t =[[ 0 , 5 , 9 , 12 , 0 ],
[ 5 , 0 , 7 , 9 , 7 ],
[ 9 , 7 , 0 , 6 , 5 ],
[ 12 , 9 , 6 , 0 , 4 ],
[ 0 , 7 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
