P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,5,3,3];
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,5,2,1];
d =[[ 0 , 10 , 10 , 9 , 12 ],
[ 10 , 0 , 5 , 8 , 5 ],
[ 10 , 5 , 0 , 5 , 4 ],
[ 9 , 8 , 5 , 0 , 7 ],
[ 12 , 5 , 4 , 7 , 0 ],];
t =[[ 0 , 10 , 10 , 9 , 0 ],
[ 10 , 0 , 5 , 8 , 5 ],
[ 10 , 5 , 0 , 5 , 4 ],
[ 9 , 8 , 5 , 0 , 7 ],
[ 0 , 5 , 4 , 7 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,5,3,5];
d =[[ 0 , 9 , 7 , 9 , 11 ],
[ 9 , 0 , 5 , 5 , 3 ],
[ 7 , 5 , 0 , 7 , 6 ],
[ 9 , 5 , 7 , 0 , 6 ],
[ 11 , 3 , 6 , 6 , 0 ],];
t =[[ 0 , 9 , 7 , 0 , 11 ],
[ 9 , 0 , 5 , 5 , 3 ],
[ 7 , 5 , 0 , 7 , 6 ],
[ 0 , 5 , 7 , 0 , 6 ],
[ 11 , 3 , 6 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,1,2,2];
d =[[ 0 , 7 , 10 , 10 , 9 ],
[ 7 , 0 , 5 , 4 , 5 ],
[ 10 , 5 , 0 , 3 , 2 ],
[ 10 , 4 , 3 , 0 , 3 ],
[ 9 , 5 , 2 , 3 , 0 ],];
t =[[ 0 , 7 , 0 , 10 , 9 ],
[ 7 , 0 , 5 , 4 , 5 ],
[ 0 , 5 , 0 , 3 , 2 ],
[ 10 , 4 , 3 , 0 , 3 ],
[ 9 , 5 , 2 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,5,3];
d =[[ 0 , 9 , 10 , 9 , 6 ],
[ 9 , 0 , 4 , 3 , 5 ],
[ 10 , 4 , 0 , 5 , 6 ],
[ 9 , 3 , 5 , 0 , 6 ],
[ 6 , 5 , 6 , 6 , 0 ],];
t =[[ 0 , 9 , 0 , 9 , 6 ],
[ 9 , 0 , 4 , 3 , 5 ],
[ 0 , 4 , 0 , 5 , 6 ],
[ 9 , 3 , 5 , 0 , 6 ],
[ 6 , 5 , 6 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,1,5,3];
d =[[ 0 , 9 , 8 , 10 , 7 ],
[ 9 , 0 , 5 , 4 , 4 ],
[ 8 , 5 , 0 , 7 , 6 ],
[ 10 , 4 , 7 , 0 , 5 ],
[ 7 , 4 , 6 , 5 , 0 ],];
t =[[ 0 , 9 , 8 , 10 , 7 ],
[ 9 , 0 , 5 , 4 , 4 ],
[ 8 , 5 , 0 , 7 , 6 ],
[ 10 , 4 , 7 , 0 , 0 ],
[ 7 , 4 , 6 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,4,5];
d =[[ 0 , 10 , 9 , 10 , 7 ],
[ 10 , 0 , 3 , 5 , 5 ],
[ 9 , 3 , 0 , 5 , 3 ],
[ 10 , 5 , 5 , 0 , 5 ],
[ 7 , 5 , 3 , 5 , 0 ],];
t =[[ 0 , 10 , 9 , 10 , 7 ],
[ 10 , 0 , 3 , 5 , 0 ],
[ 9 , 3 , 0 , 5 , 3 ],
[ 10 , 5 , 5 , 0 , 5 ],
[ 7 , 0 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,2,3,4];
d =[[ 0 , 10 , 11 , 12 , 11 ],
[ 10 , 0 , 4 , 5 , 5 ],
[ 11 , 4 , 0 , 3 , 2 ],
[ 12 , 5 , 3 , 0 , 3 ],
[ 11 , 5 , 2 , 3 , 0 ],];
t =[[ 0 , 10 , 11 , 12 , 0 ],
[ 10 , 0 , 4 , 5 , 5 ],
[ 11 , 4 , 0 , 3 , 2 ],
[ 12 , 5 , 3 , 0 , 3 ],
[ 0 , 5 , 2 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,4,4,2];
d =[[ 0 , 9 , 11 , 10 , 6 ],
[ 9 , 0 , 3 , 3 , 5 ],
[ 11 , 3 , 0 , 2 , 6 ],
[ 10 , 3 , 2 , 0 , 6 ],
[ 6 , 5 , 6 , 6 , 0 ],];
t =[[ 0 , 9 , 11 , 10 , 6 ],
[ 9 , 0 , 3 , 0 , 5 ],
[ 11 , 3 , 0 , 2 , 6 ],
[ 10 , 0 , 2 , 0 , 6 ],
[ 6 , 5 , 6 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
